symbol,company,industry,exchange,trading_volume_and_chartered_capital
AGTourimex,CTCP Du lịch An Giang,Dịch vụ hành chính và hỗ trợ,OTC,0
AIA,Công ty TNHH Bảo hiểm Nhân thọ AIA (Việt Nam),Bảo hiểm và các hoạt động liên quan,Khác,0
AICA,Công ty TNHH Tư vấn - Kiểm toán Liên Minh Quốc tế,Dịch vụ pháp lý,Khác,0
AICapital,Công ty Quản lý Quỹ đầu tư A.I Capital,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
AIG,CTCP Nguyên liệu Á Châu AIG,Sản xuất thực phẩm,Khác,0
Airserco,CTCP Cung ứng Dịch vụ Hàng Không,Vận tải hàng không,OTC,2800000
AISC,Công ty TNHH Kiểm toán và Dịch vụ Tin học,Dịch vụ pháp lý,Khác,0
AITS,CTCP Tin học Viễn thông Hàng không,Viễn thông,OTC,0
ALC,CTCP Âu Lạc,Vận tải đường thủy,OTC,2890000
ALP,CTCP Đầu tư Alphanam,"Sản xuất trang thiết bị, dụng cụ điện",OTC,192484413
ALS,CTCP Logistics Hàng không,Vận tải hàng không,OTC,0
AMIC,CTCP Đầu tư AMIC,Chăn nuôi,OTC,12000000
ANCO,CTCP Dinh dưỡng Nông nghiệp Quốc tế,Chăn nuôi,OTC,0
AnPhatAudit,Công ty TNHH Kiểm toán và Kế toán An Phát,Dịch vụ pháp lý,Khác,0
AnphatCapital,CTCP Quản lý Quỹ Đầu tư Merlin,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,2500000
AnPhu,CTCP An Phú,Bất động sản,OTC,0
AnPhuCorp,CTCP Đầu tư Bất động sản An Phú,"Xây dựng nhà cửa, cao ốc",OTC,0
AnPhuGroup,Công ty TNHH Kiểm toán An Phú,Dịch vụ pháp lý,Khác,0
Anresco,CTCP Địa ốc An Giang,"Xây dựng nhà cửa, cao ốc",OTC,0
ANZB,Ngân hàng TNHH MTV ANZ Việt Nam,Trung gian tín dụng và các hoạt động liên quan,Khác,0
AON,Công ty TNHH AON Việt Nam,Bảo hiểm và các hoạt động liên quan,Khác,0
APBAudit,Công ty TNHH Kiểm toán và Kế toán A.P.B,Dịch vụ pháp lý,Khác,0
ApecAudit,Công ty TNHH Kiểm toán APEC,Dịch vụ pháp lý,Khác,0
Aplaco,CTCP Nhựa Cao Cấp Hàng Không,Bán buôn hàng tiêu dùng,OTC,0
APRest,CTCP Thương mại Đầu tư Bất động sản An Phát,Bất động sản,OTC,50000000
APSC,CTCP Chứng khoán Alpha,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,0
AQN,CTCP 28 Quảng Ngãi,Sản xuất các sản phẩm may mặc,OTC,1511097
Artexport,CTCP Xuất nhập khẩu Thủ công mỹ nghệ,Bán buôn hàng tiêu dùng,OTC,0
ArtexSaigon,CTCP Xuất nhập khẩu Hàng tiểu thủ công nghiệp Sài Gòn,Sản xuất các sản phẩm gỗ,OTC,2564430
ASCAudit,Công ty TNHH Kiểm toán ASC,Dịch vụ pháp lý,Khác,0
ASCH,CTCP Hóa chất Á Châu,"Sản xuất hóa chất, dược phẩm",OTC,0
ASCO,Công ty TNHH Kiểm toán ASCO,Dịch vụ pháp lý,Khác,0
ASCSaiGon,CTCP Đầu tư Nông nghiệp ASC Sài Gòn,Bất động sản,OTC,0
ASD,CTCP Sông Đà Hà Nội,Nhà thầu chuyên môn,OTC,4500000
AseanAudit,Công ty TNHH Kiểm toán và Tư vấn ASEAN,Dịch vụ pháp lý,Khác,0
ASIACorp,CTCP Châu Á,Dịch vụ ăn uống,OTC,3600000
ASIAGF,Quỹ đầu tư Tăng trưởng ACB,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,24008000
ASNAF,Công ty TNHH Kiểm toán ASNAF VN,Dịch vụ pháp lý,Khác,0
ATAAudit,Công ty TNHH Kiểm toán Quốc tế ATA,Dịch vụ pháp lý,Khác,0
ATAX,Công ty TNHH Kiểm toán và Tư vấn Thuế ATAX,Dịch vụ pháp lý,Khác,0
ATC,CTCP Sản xuất - Thương mại - Xuất nhập khẩu Viễn Thông A,Bán buôn hàng tiêu dùng,OTC,3000000
ATD,CTCP 28 Đà Nẵng,Sản xuất các sản phẩm may mặc,OTC,1544300
ATICVietnam,Công ty TNHH Kiểm toán Tư vấn Việt Nam,Dịch vụ pháp lý,Khác,0
ATSC,CTCP Chứng khoán An Thành,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,4100000
AUDI,Công ty TNHH Kiểm toán - Tư vấn Thuế,Dịch vụ pháp lý,Khác,0
AuditConsult,Công ty TNHH Kiểm toán và Tư vấn A&C,Dịch vụ pháp lý,Khác,0
AuLac,Công ty TNHH Kiểm toán Âu Lạc,Dịch vụ pháp lý,Khác,0
AUM,CTCP Vinacafe Sơn Thành,Trồng trọt,OTC,1000000
